"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"3.2.1.5. Outras Lavouras Temporárias","2.4622448242187502","2.4622448242187502","1.3953029785156248","0.8207847534179689","0.08207860717773437","","","0.9848888305664062","4.349108251953126","8.12384683227539","8.12384683227539","8.78044133300781","6.647117480468749","4.2673727233886725","4.431507659912111","4.267406964111328","4.103424804687499","4.842115502929686","8.124940881347662","19.367704632568365","23.224515325927715","26.83518988037108","28.640774243164064","28.23107565307617","29.21632758789063","25.440887512207023","29.298550408935466","26.344144653320345","23.964143450927764","23.964046618652386","24.456435113525412","26.179696466064474","28.723989373779258","25.194665515136723","27.32859398803713","26.507997497558623","25.85156971435549","44.396443225097684","43.24759718017583"
"3.2.2. Lavoura Perene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.1. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.2. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.4. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7386381164550782","0.7386381164550782","0.7386381164550782","1.2310707946777346","4.513901983642576","4.678045660400388","4.678045660400388","4.678045660400388","4.678045660400388"
"3.4. Mosaico de Usos","2826.1841844606292","2830.858279016254","2904.058776355122","2921.619998297273","2953.459480047787","2868.3580974793567","2773.0823525758333","2667.463049047969","2614.699407727113","2505.719593524211","2479.3767560363895","2524.433512616006","2477.3300104187038","2487.506042071542","2437.6977529113556","2350.5477405639276","2276.851350714063","2247.306376672331","2141.928515557836","2135.6082645995825","2142.2543646545287","2137.5743769042915","2133.386802655037","2114.673577777098","2125.2570094421653","2035.9663579589665","2007.3241497009228","2017.7462067199613","2014.3809691955476","2007.0763491577047","1997.1452191528456","1933.3798958923178","1903.7536104919138","1881.6772334044927","1852.378994317586","1859.8456367736426","1853.2806147399474","1812.5737373168583","1799.5201927306848"
"4. Área não Vegetada","1088.895888983161","1159.062519714324","1180.234159326148","1214.9483043151836","1255.6527013610869","1371.2813331969983","1401.7281624206448","1518.0162554076721","1566.1870922118517","1664.0885654907036","1699.8682182861282","1746.5639962035648","1794.4933585326808","1809.839551080287","1926.9461281433073","2044.5474126342485","2109.4658733642505","2149.927708422867","2217.3095713684497","2228.8003577759246","2241.2743652588506","2243.818858770816","2256.703730572574","2347.055136645519","2384.64032128907","2405.7311519409473","2437.1632513733357","2459.8125417725364","2469.168976873875","2475.817231128027","2508.4811602357013","2552.6325344972224","2580.208420788734","2589.976118750166","2609.8348766359413","2641.9218442506735","2665.3914026063753","2688.861806079277","2733.668793621978"
"4.1. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2. Área Urbanizada","978.9311025756901","1038.0171885070483","1056.7277866454838","1093.4108099731422","1130.3406311523463","1273.5434683105236","1312.689726153555","1443.0920543334535","1497.6638809508656","1598.8478174316217","1632.9037911926225","1677.0556555358403","1721.2097407592437","1735.8991281676897","1843.5685338012668","1954.1125375182824","2020.4262114440849","2061.1342348999183","2133.2757640930595","2140.908644012497","2153.1364861023567","2158.3069960266757","2168.9761274964026","2239.1417804687617","2270.3267583068923","2285.181124554473","2310.0480322510216","2329.3323759461205","2343.03741920786","2351.5727208130857","2385.139124218856","2419.934972406158","2445.8694359193496","2460.560693963789","2480.501722558793","2505.530230157656","2532.527971704276","2542.2940303041305","2573.725099792632"
"4.3. Mineração","5.088024230957034","12.966061444091793","18.382104003906274","25.849697674560556","27.24474213867184","27.408868304443317","27.819177600097593","28.14742116088859","28.72188685302725","28.72188685302725","30.363136779784995","30.85550353393536","31.10169360961894","31.10169492797832","31.42994443969706","34.05597133789044","37.0922455322264","42.01599948730445","42.01599948730445","41.933935412597414","41.933935412597414","42.344234960937236","43.16483667602509","44.72403822021456","49.23748359374972","56.95138812255861","63.51638342895517","65.32175391235367","66.0603130615236","67.04507235717794","68.02982042846702","69.01459229125999","68.9325321777346","68.9325321777346","71.55856204834008","71.80474650268579","71.80474650268579","71.39443059692408","71.39443059692408"
"4.4. Outras Áreas não Vegetadas","104.87676217651392","108.07926976318392","105.1242686767581","95.6877966674809","98.0673280700687","70.32899658203122","61.21925866699216","46.77677991333004","39.80132440795896","36.51886120605467","36.60129031372065","38.65283713378903","42.181924163818266","42.83872798461903","51.94764990234364","56.37890377807578","51.94741638793925","46.77747403564449","42.01780778808593","45.957778350830075","46.20394374389648","43.16762778320313","44.56276640014647","63.189317956542645","65.07607938842764","63.59863926391582","63.598835693359","65.15841191406211","60.07124460449194","57.19943795776338","55.31221558837851","63.68296979980431","65.4064526916499","60.48289260864208","57.77459202880812","64.58686759033165","61.0586843994138","75.17334517822225","88.54926323242165"
"5. Corpo D´água","52.18913915405285","58.918053155517654","52.59947724609372","49.809578802490215","45.542562817382844","43.57304078979496","47.42989011230475","47.34794194335942","45.95295734863283","41.76788535156246","42.09660329589839","35.94170891723632","31.34635894775391","37.25485654907229","38.3213178527832","31.838702423095665","33.315964648437465","31.510654315185484","31.100536712646402","29.623501953124904","31.839182836913977","31.428497894287087","32.74122543945308","31.510376617431586","29.54106270751945","26.25840476684565","24.945526367187476","30.93574349365225","25.109539929199205","25.684233734130835","22.40195510864258","22.648104071044905","20.51450346679686","19.858154730224587","19.940016918945297","19.775905712890605","20.760612884521475","22.729999658203113","21.170662719726554"
"5.1. Rio, Lago e Oceano","52.18913915405285","58.918053155517654","52.59947724609372","49.809578802490215","45.542562817382844","43.57304078979496","47.42989011230475","47.34794194335942","45.95295734863283","41.76788535156246","42.09660329589839","35.94170891723632","31.34635894775391","37.25485654907229","38.3213178527832","31.838702423095665","33.315964648437465","31.510654315185484","31.100536712646402","29.623501953124904","31.839182836913977","31.428497894287087","32.74122543945308","31.510376617431586","29.54106270751945","26.25840476684565","24.945526367187476","30.93574349365225","25.109539929199205","25.684233734130835","22.40195510864258","22.648104071044905","20.51450346679686","19.858154730224587","19.940016918945297","19.775905712890605","20.760612884521475","22.729999658203113","21.170662719726554"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
